id,timestamp,text,speaker,reply_to,conversation_id,meta.receiver,meta.absolute_message_index,meta.relative_message_index,meta.year,meta.game_score,meta.game_score_delta,intent
Game5-turkey-russia-7,91,"If you go to Constantinople in the spring and then the Aegean in the fall, you'll be able to build a second fleet to put yourself in the Ionian, or at least hold the Ionian under threat, AND you'll have two on Greece to get your fifth dot.",russia-Game5,Game5-turkey-russia-6,Game5-turkey-russia,turkey-Game5,91,7,1901,4,1,1
Game1-germany-france-58,832,"Hi France--wanted to confirm our plan for this season and next: I disrupt Nth support from Holland, and in exchange you'll kindly scooch out of Belgium in the fall (into Ruhr, I imagine)? At which point I'll build a fleet in Holland?",germany-Game1,Game1-germany-france-57,Game1-germany-france,france-Game1,832,58,1904,4,-2,1
Game12-england-france-61,408,Sounds like a solid plan to me,england-Game12,Game12-england-france-60,Game12-england-france,france-Game12,408,61,1902,5,0,1
Game4-austria-russia-19,1038,What do you think?,russia-Game4,Game4-austria-russia-18,Game4-austria-russia,austria-Game4,1038,19,1904,6,1,0
Game10-england-france-15,467,Any deals?,france-Game10,Game10-england-france-14,Game10-england-france,england-Game10,467,15,1903,3,-3,0
Game9-england-russia-71,1111,I suppose it'd go to Sweden first before heading off to St. Petersburg.,russia-Game9,Game9-england-russia-70,Game9-england-russia,england-Game9,1111,71,1902,6,1,0
Game7-italy-russia-22,570,I heard there was a supply center rush in Germany and wanted my fair share.,italy-Game7,Game7-italy-russia-21,Game7-italy-russia,russia-Game7,570,22,1902,4,-1,1
Game12-turkey-france-38,200,Yes that’s what I mean.,turkey-Game12,Game12-turkey-france-37,Game12-turkey-france,france-Game12,200,38,1901,3,0,0
Game8-germany-france-49,696,"...okay, clearly I don’t have your trust. But really, I am committed to an FG victory! I’m convoying bel onto britain this spring and I’ll leave it open for you. Just let me know what else you’d like me to do, or if you’d like to hear about my moves in more detail (although in that case i would ask you to reciprocate). My main focus for the time being though has to be keeping turkey off my boot",france-Game8,Game8-germany-france-48,Game8-germany-france,germany-Game8,696,49,1905,12,4,0
Game5-turkey-austria-9,294,I think Russia is going to have to retreat very soon,turkey-Game5,Game5-turkey-austria-8,Game5-turkey-austria,austria-Game5,294,9,1903,4,0,1
Game2-turkey-italy-59,566,"Honestly, I probably need to build a fleet or army in Venice...if only to keep Austria from fucking me, bc he’s obviously building in Trieste.  I don’t want to do that though, but I don’t see alternatives.",italy-Game2,Game2-turkey-italy-58,Game2-turkey-italy,turkey-Game2,566,59,1901,4,-1,1
Game2-austria-russia-10,291,Prussia not Ukraine#,russia-Game2,Game2-austria-russia-9,Game2-austria-russia,austria-Game2,291,10,1901,4,1,0
Game11-austria-russia-2,77,"Pretty basic so far, how about you?",austria-Game11,Game11-austria-russia-1,Game11-austria-russia,russia-Game11,77,2,1901,3,-1,0
Game4-austria-russia-53,1470,"Can bud and ser support me into tri, and I will give u ven next turn? I think that would be best since support can't be cut",russia-Game4,Game4-austria-russia-52,Game4-austria-russia,austria-Game4,1470,53,1907,7,5,1
Game1-austria-france-18,657,Thank you for the warnings about England. I'm in a much better defensive position now.,france-Game1,Game1-austria-france-17,Game1-austria-france,austria-Game1,657,18,1903,6,1,0
Game3-turkey-russia-6,86,Rumania? I'll support you in.,russia-Game3,Game3-turkey-russia-5,Game3-turkey-russia,turkey-Game3,86,6,1901,4,1,1
Game1-england-italy-110,1211,"Also, I don’t know who France is. So, he either has me confused with someone, or else he’s just trying to scare you. Let’s see...why would he be trying to scare you?",italy-Game1,Game1-england-italy-109,Game1-england-italy,england-Game1,1211,110,1905,7,2,1
Game2-austria-russia-44,1468,"Yea, he is. I fucked up this game. Was my first time as Russia and I pushed to pressure Germany way too early. Oh well.",russia-Game2,Game2-austria-russia-43,Game2-austria-russia,austria-Game2,1468,44,1902,3,-2,0
Game8-italy-russia-8,400,I can’t tell if France and England are actively working together or not. What’s your take?,italy-Game8,Game8-italy-russia-7,Game8-italy-russia,russia-Game8,400,8,1903,4,-1,0
Game6-turkey-germany-21,324,"Ugh, you would hit that right as I was crashing. Let me wake up and check map.",turkey-Game6,Game6-turkey-germany-20,Game6-turkey-germany,germany-Game6,324,21,1903,6,1,1
Game2-turkey-austria-38,784,"You're in a good spot.  You should take the Black Sea here, that will give you a ton of leverage in the future",austria-Game2,Game2-turkey-austria-37,Game2-turkey-austria,turkey-Game2,784,38,1902,5,0,1
Game10-france-russia-4,205,I have expected a bounce in Pie because you and another power told me so,france-Game10,Game10-france-russia-3,Game10-france-russia,russia-Game10,205,4,1901,3,-1,0
Game4-austria-italy-3,144,"I believe conflict between Russia and Turkey is inevitable so I plan to wait and see what happens there. I'd appreciate support in the future should it come to it, and rest assured that I will endeavour to help you should you be attacked",austria-Game4,Game4-austria-italy-2,Game4-austria-italy,italy-Game4,144,3,1901,3,0,1
Game1-england-russia-27,479,"Sounds great to me. Happy hunting!
Next year I should be able to drop to Baltic if you want to keep pushing",russia-Game1,Game1-england-russia-26,Game1-england-russia,england-Game1,479,27,1902,5,1,0
Game7-germany-russia-56,546,"England just sent me a message that says he is going to take Denmark and then stop attacking me because of France... 
Like... what is he doing?",germany-Game7,Game7-germany-russia-55,Game7-germany-russia,russia-Game7,546,56,1902,4,-1,0
Game2-germany-russia-29,900,I’m about to lose anyway.,russia-Game2,Game2-germany-russia-28,Game2-germany-russia,germany-Game2,900,29,1902,3,-2,0
Game3-england-germany-411,1859,Yea sadly there's limits to our connection :/ hehe,england-Game3,Game3-england-germany-410,Game3-england-germany,germany-Game3,1859,411,1909,8,0,0
Game4-turkey-russia-41,775,Also I will move Ukraine to gal. Could you support me there?,russia-Game4,Game4-turkey-russia-40,Game4-turkey-russia,turkey-Game4,775,41,1903,5,-1,1
Game1-england-italy-227,1656,What do you think about E/I/R as a trio?,italy-Game1,Game1-england-italy-226,Game1-england-italy,england-Game1,1656,227,1906,8,3,1
Game11-england-austria-12,864,I mean there isn’t much I can do this season,austria-Game11,Game11-england-austria-11,Game11-england-austria,england-Game11,864,12,1903,5,1,0
Game4-england-germany-22,138,Russia admitted to me that he's in an alliance with france,germany-Game4,Game4-england-germany-21,Game4-england-germany,england-Game4,138,22,1901,3,0,0
Game3-england-russia-87,717,Yea the diplomacy worked out super well,england-Game3,Game3-england-russia-86,Game3-england-russia,russia-Game3,717,87,1902,7,2,0
Game1-england-italy-441,2454,"I have a neighbor who I'd really rather not brutally backstab, and it's not you (clearly). Does that make sense?",england-Game1,Game1-england-italy-440,Game1-england-italy,italy-Game1,2454,441,1907,6,-7,1
Game11-turkey-austria-185,944,"Are you coordinating with him? I’d just dislodge Tyrolia - if he retreats into Munich, that’s a win for you. If he takes Venice, we’ll get you in there in the Fall.",turkey-Game11,Game11-turkey-austria-184,Game11-turkey-austria,austria-Game11,944,185,1904,6,0,1
Game7-turkey-england-9,709,He just told me that it is too late to side with me and that I should basically suicide attack Russia so that he doesn’t die.,england-Game7,Game7-turkey-england-8,Game7-turkey-england,turkey-Game7,709,9,1903,5,0,0
Game4-turkey-austria-7,91,Well I'm getting the same sort of stuff from Russia that you have. They are indicating to me that they will commit south and want to attack you directly with my help. I have told them I'd consider it but know that I am firmly locked in to working together with you. Looks like our neighbours have made the decision for us really which makes it easy right?,turkey-Game4,Game4-turkey-austria-6,Game4-turkey-austria,austria-Game4,91,7,1901,3,0,1
Game1-england-italy-17,505,Just about the state of the board? Or did you send a message after mine that didn’t come through?,england-Game1,Game1-england-italy-16,Game1-england-italy,italy-Game1,505,17,1902,4,0,0
Game1-italy-germany-205,1777,"Good!

Still, I think we should show him some good faith by supporting him to Brest in Spring. We can decide in Fall whether it makes more sense for you to take it, but I think we want to keep France hungry.",italy-Game1,Game1-italy-germany-204,Game1-italy-germany,germany-Game1,1777,205,1907,10,3,1
Game1-england-italy-109,1210,"Well that’s fun. Um, where to begin? 

I think I’m a good online player. I’ve been playing online for about two years. I have a site ranking on one website in the Top 100, and I have a site ranking on another website in the top 250. So, maybe if you combine those rankings and squint, I’d be in the top 200 or so?",italy-Game1,Game1-england-italy-108,Game1-england-italy,england-Game1,1210,109,1905,7,2,1
Game1-italy-germany-158,1582,"But I don’t think there is anything wrong with me contemplating moves without telling you all of them. You asked me about it, and I told you the truth.",italy-Game1,Game1-italy-germany-157,Game1-italy-germany,germany-Game1,1582,158,1906,8,3,1
Game1-england-italy-285,1822,"I really think that we are best off not suggesting that you and I are talking. If Germany gets any idea that I shared her plans with you, we’ll have no idea what they are going to do.",italy-Game1,Game1-england-italy-284,Game1-england-italy,england-Game1,1822,285,1907,10,5,1
Game4-england-germany-55,290,Alright that sounds good. Do you want me to move into Brest?,england-Game4,Game4-england-germany-54,Game4-england-germany,germany-Game4,290,55,1901,4,-1,1
Game1-italy-france-1,84,"Hi France!

Well, I generally don’t like to play as Italy at all, frankly. But when I do, I go east. Not sure whether I’ll head towards Turkey or Austria, but I think the one big advantage that you and I both have is that we have a mutual border that is easy to keep clear. 

I’m not moving west. It takes forever to get there, and there are rarely centers there for me when I arrive. I hope you feel the same way about moving towards me. 

I’d like to keep our border clear and I’d like to act as “trio wires” for each other. Basically, if either Germany or England want to attack you, I expect they’ll mention something to me, and if you’ll look out for me diplomatically, I’ll give you a head’s up if ever you need to worry. 

How do you like to play France?",italy-Game1,Game1-italy-france-0,Game1-italy-france,france-Game1,84,1,1901,3,0,1
Game5-austria-russia-3,55,Turkey hasn't said anything to me just yet,austria-Game5,Game5-austria-russia-2,Game5-austria-russia,russia-Game5,55,3,1901,3,-1,0
Game4-turkey-austria-34,670,Italy was suggesting it more than saying it but they got me a bit paranoid anyway,turkey-Game4,Game4-turkey-austria-33,Game4-turkey-austria,austria-Game4,670,34,1902,5,1,1
Game8-turkey-austria-8,50,I may need it to bump Vie,austria-Game8,Game8-turkey-austria-7,Game8-turkey-austria,turkey-Game8,50,8,1901,3,0,1
Game6-turkey-germany-31,488,Awesome.  Can I help you with anything that doesn't result in me sacrificing the game?,germany-Game6,Game6-turkey-germany-30,Game6-turkey-germany,turkey-Game6,488,31,1909,3,-14,0
Game1-italy-russia-78,2072,"I am picking up some gains out west, so I risk a severe backlash if I gain anything in the east.  I’d love to see you pick up two here and take a bit of the pressure off me.",italy-Game1,Game1-italy-russia-77,Game1-italy-russia,russia-Game1,2072,78,1907,10,5,1
Game3-austria-germany-118,1640,Sure thing,germany-Game3,Game3-austria-germany-117,Game3-austria-germany,austria-Game3,1640,118,1907,7,3,1
Game12-france-russia-130,1035,Can you move Ruhr to Belgium or elsewhere to make room for me to deploy holland closer to the front?,russia-Game12,Game12-france-russia-129,Game12-france-russia,france-Game12,1035,130,1908,11,4,0
Game5-england-russia-25,272,Alright I'll go for that then,england-Game5,Game5-england-russia-24,Game5-england-russia,russia-Game5,272,25,1903,7,0,1
Game3-turkey-russia-8,93,"I'm imagining your being in Rumania as a short-term trust-building sort of thing. You're in there for a year, maybe two tops, and you get builds from that that allow you to build more fleets to flood the Med, and I get the long-term comfort of not worrying about you going to BLA. Once we start picking up Italian/Austrian dots, we can trade Rumania back to me to keep some parity going.",russia-Game3,Game3-turkey-russia-7,Game3-turkey-russia,turkey-Game3,93,8,1901,4,1,1
Game6-england-germany-94,511,Would have been easy to do last turn.  A little harder now...,germany-Game6,Game6-england-germany-93,Game6-england-germany,england-Game6,511,94,1910,3,-3,0
Game10-austria-russia-106,654,"France is tapping Berlin, so I’ll tap Sil and you tap Bal and you should be able to crush Pru!",austria-Game10,Game10-austria-russia-105,Game10-austria-russia,russia-Game10,654,106,1904,7,0,0
Game1-turkey-italy-17,491,"The current A/R plan is for Austria to double support Russia to Bulgaria. Moscow is headed up to STP with Sev supporting UKR to BUL. I am supposed to make a surprise move towards France. 

A/R expects you to cover Smyrna and does not expect you to attack Sev given all the units surrounding you.",italy-Game1,Game1-turkey-italy-16,Game1-turkey-italy,turkey-Game1,491,17,1902,4,-1,1
Game2-italy-germany-335,2640,Rn- promise I won’t move into tyrolia,italy-Game2,Game2-italy-germany-334,Game2-italy-germany,germany-Game2,2640,335,1905,6,-3,0
Game1-italy-germany-293,2253,"From my perspective, you were on the ropes early. France and England were teaming up on you. You lost Denmark and France had Holland and Munich surrounded. You were in serious peril. 

I seriously went to extreme effort to keep you in the game. I spent hours talking with England and encouraging him to turn around and go the other way. I completely ended my eastern campaign and spent two seasons just making the voyage over to France so that he didn’t have the bandwidth to continue his attack. I have vouched for you with Austria and Russia many times. I have supported Munich. And I have NEVER attacked you, even when people have asked me to do so and pledged to support me.",italy-Game1,Game1-italy-germany-292,Game1-italy-germany,germany-Game1,2253,293,1907,10,3,1
Game1-italy-germany-255,2112,England cannot take Belgium with those moves.,italy-Game1,Game1-italy-germany-254,Game1-italy-germany,germany-Game1,2112,255,1907,10,3,1
Game2-austria-italy-226,733,"I’ll try but honestly, probably can’t-  He’s not going to be happy about my fleet build.  Right now we’re talking about convoying Tunis into Greece which, lol",italy-Game2,Game2-austria-italy-225,Game2-austria-italy,austria-Game2,733,226,1901,4,-1,0
Game2-austria-germany-287,1927,I asked him what he thought about you and he said he was nervous you were getting too big and you may need to be slowed down,austria-Game2,Game2-austria-germany-286,Game2-austria-germany,germany-Game2,1927,287,1904,7,0,1
Game1-austria-italy-143,2451,"Yeah, I get that. It makes me sick because it’s likely that you’ll just get squeezed between me and Russia. Fighting me is not really a path toward viability for you, and that’s my fault. 

I’m sorry this happened. I really am. I misjudged the situation and I fear I’ve ruined both our games. If you can stick around and insist on getting some of the fruits of smashing me and not letting Russia get them all, that would be justice.",italy-Game1,Game1-austria-italy-142,Game1-austria-italy,austria-Game1,2451,143,1907,13,10,1
Game1-italy-france-59,995,"But, I don’t know if I can give up my 50/50 shot at a build. I NEED a build or I likely get stabbed, I’m afraid.",italy-Game1,Game1-italy-france-58,Game1-italy-france,france-Game1,995,59,1904,6,0,0
Game3-austria-germany-14,641,"Are you cool with me moving into Boh? I'm still agreeable to a non-aggression pact, just would like to be more useful against russia",germany-Game3,Game3-austria-germany-13,Game3-austria-germany,austria-Game3,641,14,1902,5,1,0
Game7-austria-russia-76,535,I’m pretty sure Turkey is covering Smyrna (and I’m pretty sure you’re convoying Apulia to Syria,russia-Game7,Game7-austria-russia-75,Game7-austria-russia,austria-Game7,535,76,1902,5,1,0
Game10-turkey-austria-2,66,"Sounds good - *if* I Italy is not lying to me, I could get that truce.  What do you think we should do with Russia then? Try and trick him into leaving either Galacia or the Black Sea empty (I don’t imagine we’d be so lucky as to have him do both, but you never know, some people are just trusting like that 🙂 ).  If you control BLA, we make pretty short work of the southern Russian position: Rum and Sev fall in a year or two.  But if he’s cagey and careful, it’ll go slower.",austria-Game10,Game10-turkey-austria-1,Game10-turkey-austria,turkey-Game10,66,2,1901,3,0,0
Game2-england-germany-158,1629,Do you think France will retreat to the North Sea if you take the channel???,germany-Game2,Game2-england-germany-157,Game2-england-germany,england-Game2,1629,158,1903,7,2,0
Game12-turkey-russia-53,63,"Right, ok, so this is interesting.  You can agree, and then go there anyways, and you just walk in.  Then you're in the weird position where it *looks* like you just successfully sneak-attacked both of us.  You'll get some fun messages from people all over the board! 🙂  But the position will be really good for us.",turkey-Game12,Game12-turkey-russia-52,Game12-turkey-russia,russia-Game12,63,53,1901,3,-1,0
Game7-germany-italy-4,235,Oof. So you decided to attack Austria and now Russia and Turkey are in a much better position. My advice would be to apologize to Austria and fight against this juggernaut that could be forming. Attacking Austria is not gonna work well for you.,germany-Game7,Game7-germany-italy-3,Game7-germany-italy,italy-Game7,235,4,1901,3,0,0
Game9-france-russia-18,117,"Alright, they probably spoke to you in the same window of time that they did to me. Did you talk about which of you gets Belgium?",russia-Game9,Game9-france-russia-17,Game9-france-russia,france-Game9,117,18,1901,4,1,0
Game1-italy-germany-221,1879,"I’m pretty wary of England right now. He asked me what I want to do, but I feel like he’s trying to get me to leave MAO open. That’s not terrible news, as it suggests that he won’t expect your move to North Sea.",italy-Game1,Game1-italy-germany-220,Game1-italy-germany,germany-Game1,1879,221,1907,10,3,1
Game8-turkey-russia-32,295,yes.  Italy ... Italy just fucked himself.  I'm building an army in Ankara.  Trying to decide whether to retreat the army to CON or rebuild it as a fleet.,turkey-Game8,Game8-turkey-russia-31,Game8-turkey-russia,russia-Game8,295,32,1902,4,-2,0
Game8-italy-france-1,88,"So would I, Italy! I think I'm going to focus on taking out my upstairs neighbor to start off, but don't be a stranger 🙂",france-Game8,Game8-italy-france-0,Game8-italy-france,italy-Game8,88,1,1901,3,0,1
Game11-turkey-russia-7,151,"I'd prefer to make a go at Austria first, then I'll crank out fleets and deal with Italy.",turkey-Game11,Game11-turkey-russia-6,Game11-turkey-russia,russia-Game11,151,7,1901,3,-1,0
Game9-turkey-france-5,64,I don't really have a good read on Russia to be honest,turkey-Game9,Game9-turkey-france-4,Game9-turkey-france,france-Game9,64,5,1901,3,0,1
Game3-italy-germany-49,979,What did you do with yours?,italy-Game3,Game3-italy-germany-48,Game3-italy-germany,germany-Game3,979,49,1904,5,0,0
Game10-england-germany-39,298,I’ve been talking to some people about Russia and since I bounced them in Sweden and they don’t believe my excuse I think I need to build a fleet to take to Bal.,germany-Game10,Game10-england-germany-38,Game10-england-germany,england-Game10,298,39,1901,5,0,1
Game12-turkey-russia-130,460,Gonna support england into Denmark,russia-Game12,Game12-turkey-russia-129,Game12-turkey-russia,turkey-Game12,460,130,1903,5,0,0
Game1-italy-germany-287,2219,I give you my word: I don’t know what England is going to do and I haven’t asked.,italy-Game1,Game1-italy-germany-286,Game1-italy-germany,germany-Game1,2219,287,1907,10,3,1
Game11-austria-germany-215,1145,"There is no way that I can, no way turkey doesn’t attack me for the rest of the game now",austria-Game11,Game11-austria-germany-214,Game11-austria-germany,germany-Game11,1145,215,1905,6,-3,1
Game12-turkey-france-92,850,You are in the more precarious position (although the game is time limited so the danger isn’t quite so great).  So you make a specific proposal and I’ll tell you if that is asking too much or is fine as long as you keep your end of the bargain.,turkey-Game12,Game12-turkey-france-91,Game12-turkey-france,france-Game12,850,92,1907,12,4,1
Game5-england-germany-1,19,I'm willing to consider it if all 3 are in,germany-Game5,Game5-england-germany-0,Game5-england-germany,england-Game5,19,1,1901,3,0,0
Game1-turkey-italy-26,690,"So, is it worth us having a discussion this turn? I sincerely wanted to work something out with you last turn, but I took silence to be an ominous sign.",italy-Game1,Game1-turkey-italy-25,Game1-turkey-italy,turkey-Game1,690,26,1903,5,2,1
Game5-italy-france-1,76,"Having spoken to him, we're on decent terms at the moment so just going to see how it goes",italy-Game5,Game5-italy-france-0,Game5-italy-france,france-Game5,76,1,1901,3,0,1
Game1-austria-russia-5,212,"Oh, fwiw, I'd just as well neither of us tried for Galicia this turn, if you don't mind.",russia-Game1,Game1-austria-russia-4,Game1-austria-russia,austria-Game1,212,5,1901,4,1,0
Game10-england-austria-1,24,Hey is for horses ( my dad used to say...) 🙂,austria-Game10,Game10-england-austria-0,Game10-england-austria,england-Game10,24,1,1901,3,0,0
Game11-turkey-germany-25,797,"he says he's going after you next, but who knows?  he's got multiple armies lined up on our border and I can't really defend myself at this point.",turkey-Game11,Game11-turkey-germany-24,Game11-turkey-germany,germany-Game11,797,25,1903,5,0,0
Game1-italy-germany-206,1779,"I would suggest something like this to ensure the English fleet is disbanded:
Pic - Bre
MAO - Channel
Par S Pic - Bre",italy-Game1,Game1-italy-germany-205,Game1-italy-germany,germany-Game1,1779,206,1907,10,3,1
Game1-italy-france-53,988,Any thoughts for me? How would you go about making a French-Italy alliance work?,france-Game1,Game1-italy-france-52,Game1-italy-france,italy-Game1,988,53,1904,6,0,0
Game4-france-russia-209,1144,"I also do want to wait for builds since I actually might not be able to even attack England due to Italy, Austria, and Turkey hating my guts",france-Game4,Game4-france-russia-208,Game4-france-russia,russia-Game4,1144,209,1904,9,2,1
Game11-italy-france-9,187,Let me clarify that i have no issue with you moving to Spain - but I'm a bit uncomfortable with a Fleet in Spain SC,italy-Game11,Game11-italy-france-8,Game11-italy-france,france-Game11,187,9,1901,3,0,0
Game9-england-russia-9,395,"I definitely understand that, and I trust you, but it's better to trust and *also* verify.",russia-Game9,Game9-england-russia-8,Game9-england-russia,england-Game9,395,9,1901,6,1,1
Game4-austria-russia-20,1039,"They told me they are interested in working with me against you and are going to try to take Ser. So what I think we should do is you attack Rum with Bud and Gal, which would cut support and let me take Sev. That way we get two of Turkeys territories, which would be a big blow to them",russia-Game4,Game4-austria-russia-19,Game4-austria-russia,austria-Game4,1039,20,1904,6,1,1
Game3-austria-russia-10,738,"I can help you against Turkey still, y'know",russia-Game3,Game3-austria-russia-9,Game3-austria-russia,austria-Game3,738,10,1903,5,1,0
Game1-england-italy-265,1793,"Well, that’s fine with me. I like Russia. But here is the downside for you: if Russia grows, the north won’t be undefended any more, and you will have less room to grow. So, think long term, and think about where your dots are going to come from. I mean it sincerely when I say that I’ll join up with either one provided you feel good about it, but I actually think it might be better for you if I give back Austria a couple of centers and position you to grab Swe and STP once Germany is on her heels.",italy-Game1,Game1-england-italy-264,Game1-england-italy,england-Game1,1793,265,1907,10,5,1
Game3-turkey-austria-95,1658,Okay thanks for clarifying. I just placed the order,turkey-Game3,Game3-turkey-austria-94,Game3-turkey-austria,austria-Game3,1658,95,1907,4,0,1
Game2-turkey-austria-45,1042,I feel bad but I ended up going to sleep before I got a response from you so I figured you were out to attack me,austria-Game2,Game2-turkey-austria-44,Game2-turkey-austria,turkey-Game2,1042,45,1902,5,0,1
Game9-turkey-russia-32,541,"Alright, just didn't want to overstep the lines, you know how it is. I can probably even use it to keep up the subterfuge even with supporting you, since it would be really easy to misclick supporting Bulgaria to stay put rather than supporting Serbia to Bulgaria.",russia-Game9,Game9-turkey-russia-31,Game9-turkey-russia,turkey-Game9,541,32,1902,6,2,1
Game1-italy-germany-256,2113,Or I could move my fleet into Liverpool and use Gas to support Bre. I’m happy either way.,italy-Game1,Game1-italy-germany-255,Game1-italy-germany,germany-Game1,2113,256,1907,10,3,1
Game8-turkey-germany-31,786,Let it never be said that you’re not a man of your word.,turkey-Game8,Game8-turkey-germany-30,Game8-turkey-germany,germany-Game8,786,31,1907,10,6,0
Game2-italy-germany-225,1650,My thought it I don’t risk losing burg and who knows I just might take it,germany-Game2,Game2-italy-germany-224,Game2-italy-germany,italy-Game2,1650,225,1903,7,2,0
Game2-england-austria-21,1753,You taking Mos here?,austria-Game2,Game2-england-austria-20,Game2-england-austria,england-Game2,1753,21,1903,6,1,1
Game2-turkey-germany-11,209,I inquired about Italy a little bit but not so much about other plans,turkey-Game2,Game2-turkey-germany-10,Game2-turkey-germany,germany-Game2,209,11,1901,3,0,1
